,	1	0.626400542544	0.311956724355
the	1	0.649682335114	0.929323105711
.	1	0.609415250944	0.333298812413
of	1	0.760231591435	0.343700792059
and	1	0.807642719679	0.455926808367
in	1	0.751756434249	0.324723942805
-rrb-	1	0.564805612854	0.333145490968
-lrb-	1	0.610210232158	0.271281354876
a	1	0.602340427859	0.94328910907
to	1	0.956153488657	0.495041440449
\*	1	0.529418983334	0.436352137928
is	1	0.866491277069	0.723320632784
-	1	0.601508920965	0.266422755453
was	1	0.860998536791	0.722660230242
:	1	0.565663851282	0.322674115946
for	1	0.756650522614	0.363627900499
as	1	0.791747590758	0.396562794365
on	1	0.739416971545	0.359629705677
''	1	0.582100048771	0.387480444701
``	1	0.466930782952	0.547627460231
by	1	0.770572107693	0.378445215995
's	1	0.680052988279	0.950271672114
that	1	0.849655757785	0.502903811072
with	1	0.76346848425	0.396340411081
it	1	0.831283317156	0.551521820674
from	1	0.747170386522	0.333684926986
he	1	0.872628630086	0.583564446397
at	1	0.73888534234	0.311208911892
this	1	0.623960196092	0.977727081721
an	1	0.622694920211	0.922035431354
his	1	0.695357273483	0.920837005079
be	1	0.842135766996	0.746104239252
are	1	0.865032792414	0.702187949013
not	1	0.783033283743	0.558428280108
i	1	0.926324854078	0.562869203776
or	1	0.807153502188	0.457016925676
utc	1	0.921765229644	0.50458819644
which	1	0.842243915581	0.533663729579
also	1	0.760537612429	0.569804677062
1	1	0.477043571465	0.409341772627
has	1	0.83117586575	0.662931877858
were	1	0.860103388563	0.706904772777
but	1	0.842562259177	0.430222634437
have	1	0.815821502	0.660938837693
;	1	0.620487061623	0.317019135628
one	1	0.602538708372	0.981162399744
%	1	0.498673519944	0.329496163145
new	1	0.45007160398	0.782975249572
first	1	0.462987031788	0.612734165288
2	1	0.460851234688	0.418585471435
had	1	0.828772904721	0.658079999716
they	1	0.909350386366	0.564979501517
2007	1	0.246374573036	0.33033310382
who	1	0.862439608746	0.572547677492
their	1	0.681126439457	0.923794191901
o	1	0.574021802317	0.312765432866
its	1	0.674232967937	0.930076935936
there	1	0.836037579061	0.576113156865
other	1	0.594084620098	0.80091593819
all	1	0.635590687229	0.825468006717
2006	1	0.249915403386	0.341759386703
you	1	0.920252475389	0.547813657039
been	1	0.849826105515	0.760082481624
after	1	0.795399961563	0.326768586732
article	1	0.0880822932151	0.608614532949
may	1	0.517429123074	0.0313126912815
3	1	0.478463840891	0.383823918543
=	1	0.0564057945986	0.561589968149
2008	1	0.252506324572	0.318314796907
can	1	0.986244873155	0.518616166844
talk	1	0.103668071525	0.546895539181
no	1	0.533860028593	0.662415680911
'	1	0.555185177142	0.369115573185
her	1	0.699683754816	0.922453566383
when	1	0.859211428809	0.383904452344
more	1	0.602457534398	0.678590422927
two	1	0.592304346628	0.777206950353
\/	1	0.591489664781	0.26181770085
she	1	0.873018158446	0.583625517643
links	1	0.0449428908887	0.618690585198
?	1	0.601556743656	0.395945851828
would	1	0.992135917933	0.529280195607
time	1	0.0782263490954	0.744642254849
4	1	0.459825564426	0.397716933821
image	1	0.0883892511809	0.584822163754
about	1	0.711099738881	0.279651503752
do	1	0.981966973838	0.56107049937
some	1	0.625240713509	0.831793311456
only	1	0.733570486666	0.594144394393
into	1	0.737658469696	0.343517062399
school	1	0.195677141758	0.853294891599
if	1	0.864141839406	0.402618132928
page	1	0.0807998095363	0.632894443411
see	1	0.539375325803	0.450398713537
--	1	0.607381899864	0.302671915947
n't	1	0.797851212523	0.567664044377
references	1	0.20282308211	0.578448945834
made	1	0.651505892125	0.537915344508
used	1	0.673815971485	0.540398804531
5	1	0.446304951042	0.403992773994
most	1	0.606590849295	0.694780963566
such	1	0.651626754747	0.603407243713
#	1	0.55096246206	0.31320508859
external	1	0.242111214257	0.504801470525
up	1	0.692775394345	0.397809229927
_	1	0.401725656091	0.220432989173
2005	1	0.260568567988	0.333390410909
world	1	0.349225544423	0.792134914836
&	1	0.581671211388	0.248207187605
city	1	0.254967801038	0.815247538091
out	1	0.675944671601	0.382014633029
during	1	0.772663456579	0.30382155308
years	1	0.292782524742	0.941571150906
over	1	0.708349434274	0.278329286444
many	1	0.623739606739	0.817694831408
will	1	0.995899950327	0.51592327388
6	1	0.446938452299	0.386228854644
than	1	0.704058414318	0.310277253871
0	1	0.422889202004	0.302328182016
use	1	0.0472517556061	0.697503205232
so	1	0.76187954902	0.5139973627
should	1	0.975301542093	0.532251869933
united	1	0.44785699528	0.824847855205
state	1	0.260515525918	0.872434638027
university	1	0.215971265169	0.880082068419
then	1	0.756451930919	0.586910528274
where	1	0.857715684502	0.378960625091
these	1	0.641966340711	0.815758146412
people	1	0.284174684342	0.611236256959
him	1	0.720387647902	0.756292334062
7	1	0.462594095876	0.382344131164
de	1	0.392795019076	0.516381974627
history	1	0.182204175941	0.655205592914
10	1	0.430682641257	0.419236822416
`	1	0.466742971602	0.547805027852
name	1	0.105576825016	0.758619295208
american	1	0.376938070258	0.815021758778
being	1	0.854339298812	0.742721164013
any	1	0.631398661695	0.943604471211
states	1	0.300355855729	0.903175607816
under	1	0.7424674886	0.395041303167
national	1	0.351697406699	0.829104900578
delete	1	0.696633159179	0.675363712916
them	1	0.719253329293	0.75676470042
8	1	0.461887905365	0.366256221763
wikipedia	1	0.147530332353	0.609989551164
between	1	0.735498509137	0.272081071453
year	1	0.079668810353	0.868928324136
known	1	0.652664433307	0.596469672961
july	1	0.462003274197	0.0100242669916
part	1	0.48791765182	0.66422216523
like	1	0.720496558983	0.432046714393
later	1	0.763218682392	0.604883609887
list	1	0.00348216047379	0.828475109637
what	1	0.850556214212	0.498927659548
well	1	0.694527998283	0.562772895487
county	1	0.223425323919	0.830002810731
september	1	0.467448229219	0.035596073748
john	1	0.354063557362	0.5342945478
war	1	0.285220604254	0.781888767392
august	1	0.459263879055	0.0230349940901
while	1	0.825897798422	0.41068644119
however	1	0.846475623493	0.415928665031
articles	1	0.181381134983	0.590215769945
march	1	0.498675130717	0.00930253747629
three	1	0.599000572028	0.772269416666
9	1	0.450229027971	0.356143305714
october	1	0.491750965062	0.0267645518225
june	1	0.486376797195	0.0150355663446
south	1	0.453941005389	0.874628067548
now	1	0.741402657958	0.580814966841
film	1	0.152444889732	0.68435808513
january	1	0.474150229	0.0243296114345
high	1	0.463170952665	0.755644388765
both	1	0.766868231601	0.620262765184
series	1	0.0508021034506	0.797877303966
team	1	0.122759350653	0.85155859276
12	1	0.430557194509	0.400088743214
through	1	0.726712559478	0.353676551006
before	1	0.798345289028	0.322844919617
because	1	0.8289345082	0.379065261856
work	1	0.0844467041303	0.706122089146
april	1	0.472536038712	2.98726250647e-05
since	1	0.801822269192	0.289421116861
north	1	0.450014859212	0.885072009159
album	1	0.124336967848	0.673445384303
born	1	0.83408679837	0.294800582481
!	1	0.594009096759	0.386855989609
december	1	0.475335261207	0.0132174586555
does	1	0.991160006597	0.548086221786
18	1	0.37279690693	0.356551674322
my	1	0.693633473107	0.895657407946
music	1	0.21559967728	0.676757115105
we	1	0.920249382073	0.555363054143
11	1	0.431942287846	0.383488472839
area	1	0.221922843535	0.769916157631
just	1	0.78641420464	0.54814613046
november	1	0.48206082111	0.0354538225098
second	1	0.435924872946	0.618783748023
group	1	0.0382500298628	0.808703314887
including	1	0.742960857992	0.426098797956
game	1	0.133871631388	0.703657542886
licensing	1	0.20520457491	0.525761716564
could	1	0.981672808914	0.526568477407
became	1	0.838669975462	0.71952467789
2004	1	0.266310294882	0.320194982498
family	1	0.291862159766	0.803526718163
february	1	0.487771275103	0.0
summary	1	0.196533155982	0.522585055626
